height,diameterX,diameterY
-1904.0,6923.0,6668.0
-2231.0,6642.0,6478.0
-2066.0,6742.0,6627.0
-2262.0,6593.0,6183.0
-2074.0,6749.0,6642.0
-1809.0,7166.0,7054.0
-1985.0,6888.0,6771.0
-2755.0,5803.0,5754.0
-2484.0,6182.0,5977.0
-2366.0,6406.0,6189.0
-2333.0,6253.0,6253.0
-2477.0,6092.0,6027.0
-1931.0,6896.0,6444.0
-2187.0,6996.0,6471.0
-2074.0,6912.0,6450.0
-2111.0,6685.0,6003.0
-2358.0,6336.0,6071.0
-2793.0,5787.0,5747.0
-2355.0,6579.0,6311.0
-2308.0,6337.0,6449.0
-2736.0,5888.0,5827.0
-2981.0,5589.0,5633.0
-2589.0,6428.0,6021.0
-2807.0,5772.0,5734.0
-2460.0,6192.0,6742.0
-3046.0,5893.0,5965.0
-2816.0,5632.0,5741.0
-2175.0,6587.0,6585.0
-2594.0,6026.0,5873.0
-2513.0,6166.0,5996.0
-2808.0,5679.0,5801.0
-1686.0,7490.0,7423.0
-2342.0,6504.0,6240.0
-2187.0,6618.0,6633.0
-3206.0,5261.0,5234.0
-2874.0,5648.0,6046.0
-2746.0,5914.0,5797.0
-3093.0,5263.0,5533.0
-2954.0,5597.0,5652.0
-2064.0,6567.0,6611.0
