height,diameterX,diameterY
-1904.0,6923.0,6668.0
-2231.0,6642.0,6478.0
-2066.0,6742.0,6627.0
-2262.0,6593.0,6183.0
-2074.0,6749.0,6642.0
-1809.0,7166.0,7054.0
-1985.0,6888.0,6771.0
-2755.0,5803.0,5754.0
-2484.0,6182.0,5977.0
-2366.0,6406.0,6189.0
-2333.0,6253.0,6253.0
-2477.0,6092.0,6027.0
-1931.0,6896.0,6444.0
-2187.0,6996.0,6471.0
-2074.0,6912.0,6450.0
-2111.0,6685.0,6003.0
-2358.0,6336.0,6071.0
-2793.0,5787.0,5747.0
-2355.0,6579.0,6311.0
-2308.0,6337.0,6449.0
-2736.0,5888.0,5827.0
-2981.0,5589.0,5633.0
-2589.0,6428.0,6021.0
-2807.0,5772.0,5734.0
-2460.0,6192.0,6742.0
-3046.0,5893.0,5965.0
-2816.0,5632.0,5741.0
-2175.0,6587.0,6585.0
-2594.0,6026.0,5873.0
-2513.0,6166.0,5996.0
-2808.0,5679.0,5801.0
-1686.0,7490.0,7423.0
-2342.0,6504.0,6240.0
-2187.0,6618.0,6633.0
-3206.0,5261.0,5234.0
-2874.0,5648.0,6046.0
-2746.0,5914.0,5797.0
-3093.0,5263.0,5533.0
-2954.0,5597.0,5652.0
-2064.0,6567.0,6611.0
-2905.0,5484.0,5746.0
-2802.0,5816.0,5638.0
-2272.0,6602.0,6482.0
-2292.0,6701.0,6324.0
-1796.0,7260.0,7328.0
-2137.0,6825.0,7249.0
-2752.0,5887.0,6794.0
-2894.0,5964.0,5713.0
-2738.0,6041.0,6057.0
-2697.0,5939.0,5852.0
-2359.0,6399.0,6258.0
-2126.0,6740.0,6720.0
-2364.0,6293.0,6570.0
-2573.0,6126.0,5913.0
-2569.0,6030.0,5850.0
-2326.0,6381.0,6197.0
-2455.0,6297.0,6124.0
-2370.0,6263.0,6123.0
-2332.0,6344.0,6368.0
-2684.0,6201.0,6219.0
-2574.0,6058.0,6001.0
-2754.0,5869.0,5765.0
-2253.0,6545.0,6352.0
-2256.0,6552.0,6518.0
-2729.0,5838.0,5820.0
-3857.0,6226.0,6686.0
-2183.0,6509.0,6432.0
-2140.0,5371.0,6356.0
-2231.0,6561.0,6453.0
-2446.0,6157.0,6104.0
-2529.0,6029.0,5891.0
-2461.0,5789.0,5202.0
-1766.0,7176.0,7108.0
-2019.0,6646.0,6616.0
-2297.0,6213.0,6192.0
-2317.0,6089.0,5963.0
-1960.0,6978.0,6902.0
-2137.0,6604.0,6577.0
-2137.0,6604.0,6577.0
-3303.0,6293.0,6174.0
-2417.0,6266.0,6179.0
-2118.0,6834.0,6439.0
-2149.0,6626.0,6990.0
-1949.0,7025.0,6947.0
-1798.0,7345.0,7240.0
-2125.0,6908.0,6793.0
-2170.0,6913.0,6627.0
-2658.0,6161.0,6456.0
-2184.0,6837.0,6588.0
-2237.0,6757.0,6486.0
-2242.0,6623.0,6476.0
-2413.0,6426.0,6302.0
-2482.0,6232.0,6263.0
-2661.0,6209.0,6045.0
-2245.0,6659.0,6319.0
-2309.0,6443.0,6260.0
-1982.0,6910.0,6936.0
-2113.0,6783.0,6791.0
-2381.0,6303.0,6396.0
-2277.0,6615.0,6653.0
-2521.0,6345.0,6064.0
-2671.0,6332.0,5979.0
-2309.0,6264.0,6202.0
-2331.0,6357.0,6406.0
-2281.0,6489.0,6307.0
-2419.0,6266.0,6981.0
-1941.0,7006.0,6922.0
-2406.0,6179.0,6120.0
-1865.0,7223.0,7255.0
-2002.0,6857.0,6893.0
-2302.0,6480.0,6445.0
-1931.0,6955.0,7016.0
-2388.0,6226.0,6406.0
-2226.0,6301.0,6193.0
-2257.0,6563.0,6525.0
-2080.0,6697.0,6724.0
-2070.0,6688.0,7113.0
-2142.0,5157.0,6016.0
-2057.0,6888.0,6768.0
-2243.0,6482.0,6447.0
-388.0,INVALID,INVALID
-1733.0,7322.0,7061.0
-1774.0,7216.0,7141.0
-1878.0,7252.0,7069.0
-1968.0,6871.0,6710.0
-1644.0,7443.0,7403.0
-2187.0,6582.0,6542.0
-1892.0,6966.0,7001.0
-2191.0,6557.0,6467.0
-1984.0,6966.0,6700.0
-2195.0,6687.0,6858.0
-2187.0,6692.0,6416.0
-1992.0,7036.0,6636.0
-1984.0,6806.0,6851.0
-2077.0,6749.0,6493.0
-2315.0,6445.0,6589.0
-2707.0,5970.0,6064.0
-2095.0,6752.0,6594.0
-2240.0,6380.0,6415.0
-2295.0,6305.0,6341.0
-2935.0,5871.0,5873.0
-2775.0,5856.0,5761.0
-2469.0,6109.0,6004.0
-2477.0,5928.0,5895.0
-2641.0,5848.0,5678.0
-3008.0,4450.0,2533.0
-2181.0,6557.0,6383.0
-3444.0,5798.0,5907.0
-2283.0,6436.0,6273.0
-2361.0,6338.0,6323.0
-2254.0,6329.0,6308.0
-2608.0,5992.0,5889.0
-2478.0,7807.0,7735.0
-2333.0,6442.0,6490.0
-2310.0,6318.0,6589.0
-3004.0,5565.0,5476.0
-3659.0,5543.0,5749.0
-2843.0,5484.0,5467.0
-2843.0,5484.0,5467.0
-340.0,INVALID,INVALID
-340.0,INVALID,INVALID
-2133.0,6901.0,6095.0
-2895.0,5728.0,5850.0
-2886.0,5913.0,5968.0
-2546.0,6316.0,6206.0
-2345.0,6498.0,6238.0
-2851.0,6041.0,6024.0
-2876.0,5897.0,6047.0
-3334.0,5851.0,6735.0
-3038.0,5701.0,5721.0
-2864.0,5784.0,6127.0
-2553.0,6192.0,6098.0
-2621.0,6091.0,6212.0
-2660.0,6044.0,6537.0
-2856.0,5923.0,6058.0
-2604.0,6014.0,6102.0
-2790.0,5884.0,6134.0
-2399.0,6265.0,6105.0
-2634.0,6057.0,6083.0
-2809.0,5824.0,5840.0
-2680.0,5983.0,5878.0
-2790.0,5828.0,5782.0
-2662.0,5963.0,6053.0
-2880.0,5751.0,5958.0
-2789.0,5787.0,5755.0
-3173.0,5151.0,5115.0
-2754.0,5863.0,5836.0
-2701.0,5833.0,5626.0
-2802.0,5544.0,5513.0
-2469.0,6182.0,6008.0
-2561.0,6109.0,5986.0
-2572.0,5959.0,6029.0
-2524.0,6169.0,7053.0
-8188.0,4365.0,6837.0
-3358.0,5929.0,5982.0
-2670.0,5830.0,5883.0
-2906.0,5500.0,5518.0
-2969.0,5571.0,5528.0
-1733.0,7322.0,7061.0
-391.0,INVALID,INVALID
-369.0,INVALID,INVALID
-2765.0,5808.0,5773.0
-2765.0,5808.0,5773.0
-2940.0,5627.0,5561.0
-2979.0,5486.0,5568.0
-2677.0,5867.0,5842.0
-2994.0,5638.0,6113.0
-2818.0,5734.0,5710.0
-2716.0,5991.0,5846.0
-2862.0,5755.0,5555.0
-2798.0,5790.0,6375.0
-2857.0,5657.0,5584.0
-2904.0,5686.0,5559.0
-3107.0,5409.0,5360.0
-3074.0,5464.0,5288.0
-2917.0,5634.0,5445.0
-3013.0,5462.0,5452.0
-2938.0,5629.0,5552.0
-3431.0,5468.0,5453.0
-3991.0,5341.0,5449.0
-3128.0,5388.0,5389.0
-3097.0,5387.0,5332.0
-2867.0,5180.0,5215.0
-3075.0,4842.0,5122.0
-2995.0,5624.0,5561.0
-2819.0,5685.0,5475.0
-3247.0,5265.0,5256.0
-2700.0,5707.0,5593.0
-2634.0,5911.0,5624.0
-2802.0,5592.0,5445.0
-2366.0,6361.0,6046.0
-2370.0,6167.0,6078.0
-2694.0,5821.0,5779.0
-2894.0,5789.0,5893.0
-3246.0,5317.0,5198.0
-3265.0,5107.0,5071.0
-4207.0,4667.0,4758.0
-3732.0,4710.0,4865.0
-3540.0,4892.0,4739.0
-389.0,INVALID,INVALID
-268.0,INVALID,INVALID
-3237.0,5242.0,5602.0
-2883.0,5504.0,5467.0
-542.0,0,0
-3578.0,5030.0,5160.0
-3296.0,5232.0,5216.0
-3312.0,5293.0,5393.0
-2749.0,5722.0,5838.0
-2808.0,5674.0,5818.0
-2766.0,5750.0,5791.0
-3312.0,5562.0,5560.0
-2732.0,5775.0,5720.0
-2916.0,5638.0,5498.0
-3596.0,5588.0,5606.0
-2557.0,5982.0,5955.0
-2955.0,5572.0,5403.0
-1647.0,7222.0,7402.0
-2879.0,5773.0,5787.0
-2999.0,5539.0,5572.0
-2880.0,5690.0,5609.0
-2425.0,6119.0,6146.0
-2535.0,6144.0,5973.0
-3688.0,4511.0,6541.0
-2326.0,4361.0,5341.0
-2663.0,5769.0,5726.0
-2565.0,5907.0,5797.0
-3847.0,4697.0,6128.0
-2997.0,5339.0,5134.0
-2693.0,5962.0,5990.0
-4662.0,4549.0,5384.0
-4201.0,4621.0,5687.0
-3260.0,5394.0,5598.0
-4057.0,4620.0,4602.0
-2934.0,5332.0,5433.0
-3095.0,4125.0,4125.0
-2951.0,5860.0,6032.0
-2813.0,5605.0,5489.0
-3662.0,5327.0,5848.0
-1792.0,4273.0,4141.0
-379.0,INVALID,INVALID
